# -------------------------------------------------------------------------
#
#  Copyright (c) 1999 Network Appliance, Inc.
#  All rights reserved.
#
# -------------------------------------------------------------------------
#
#  This file maps the short MIB names in the first column to the
#  SNMP object identifier (OID) in the second column.  These OIDs
#  are appropriate for use with the "snmp traps" command for defining
#  your own traps.  See the online documentation for details.
#
#  Refer to the appropriate MIB (rfc1213.mib or netapp.mib) for
#  a complete description of each object.
#
# -------------------------------------------------------------------------

v2ccRoots                      snmp.1.3.6.1.4.1.789.1.3.1.2.3.3.4.0
v2ccLookups                    snmp.1.3.6.1.4.1.789.1.3.1.2.3.3.5.0
v2ccReadlinks                  snmp.1.3.6.1.4.1.789.1.3.1.2.3.3.6.0
v2ccReads                      snmp.1.3.6.1.4.1.789.1.3.1.2.3.3.7.0
v2ccWrcaches                   snmp.1.3.6.1.4.1.789.1.3.1.2.3.3.8.0
v2ccWrites                     snmp.1.3.6.1.4.1.789.1.3.1.2.3.3.9.0
v2ccCreates                    snmp.1.3.6.1.4.1.789.1.3.1.2.3.3.10.0
v2ccRemoves                    snmp.1.3.6.1.4.1.789.1.3.1.2.3.3.11.0
v2ccRenames                    snmp.1.3.6.1.4.1.789.1.3.1.2.3.3.12.0
v2ccLinks                      snmp.1.3.6.1.4.1.789.1.3.1.2.3.3.13.0
v2ccSymlinks                   snmp.1.3.6.1.4.1.789.1.3.1.2.3.3.14.0
v2ccMkdirs                     snmp.1.3.6.1.4.1.789.1.3.1.2.3.3.15.0
v2ccRmdirs                     snmp.1.3.6.1.4.1.789.1.3.1.2.3.3.16.0
v2ccReaddirs                   snmp.1.3.6.1.4.1.789.1.3.1.2.3.3.17.0
v2ccStatfss                    snmp.1.3.6.1.4.1.789.1.3.1.2.3.3.18.0
v2cpNulls                      snmp.1.3.6.1.4.1.789.1.3.1.2.3.4.1.0
v2cpGetattrs                   snmp.1.3.6.1.4.1.789.1.3.1.2.3.4.2.0
v2cpSetattrs                   snmp.1.3.6.1.4.1.789.1.3.1.2.3.4.3.0
v2cpRoots                      snmp.1.3.6.1.4.1.789.1.3.1.2.3.4.4.0
v2cpLookups                    snmp.1.3.6.1.4.1.789.1.3.1.2.3.4.5.0
v2cpReadlinks                  snmp.1.3.6.1.4.1.789.1.3.1.2.3.4.6.0
v2cpReads                      snmp.1.3.6.1.4.1.789.1.3.1.2.3.4.7.0
v2cpWrcaches                   snmp.1.3.6.1.4.1.789.1.3.1.2.3.4.8.0
v2cpWrites                     snmp.1.3.6.1.4.1.789.1.3.1.2.3.4.9.0
v2cpCreates                    snmp.1.3.6.1.4.1.789.1.3.1.2.3.4.10.0
